s_names,a_names,values
UserA,PV,0.0
UserA,National Grid import,404.5358879297382
UserA,National Grid export,-199.87715959056084
UserA,Storing EE,0.0
UserA,Gas Boiler heating,0.0
UserA,HP heating winter,0.0
UserA,HP heating summer,0.0
UserA,HP cooling,0.0
UserA,AC cooling,0.0
UserA,Storing HW,0.0
UserA,Radiators heater,0.0
UserA,Floor heater,0.0
UserA,Induction stove cooking,0.0
UserA,Gas stove cooking,0.0
UserA,Natural Gas supply grid,1907.0653470489422
UserB,PV,0.0
UserB,National Grid import,770.8902570004237
UserB,National Grid export,-110.33271068477038
UserB,Storing EE,0.0
UserB,Gas Boiler heating,0.0
UserB,HP heating winter,0.0
UserB,HP heating summer,0.0
UserB,HP cooling,0.0
UserB,AC cooling,0.0
UserB,Storing HW,0.0
UserB,Radiators heater,0.0
UserB,Floor heater,0.0
UserB,Induction stove cooking,0.0
UserB,Gas stove cooking,0.0
UserB,Natural Gas supply grid,4090.1492072397227
UserC,PV,0.0
UserC,National Grid import,858.0733734171004
UserC,National Grid export,-155.61125805211367
UserC,Storing EE,0.0
UserC,Gas Boiler heating,0.0
UserC,HP heating winter,0.0
UserC,HP heating summer,0.0
UserC,HP cooling,0.0
UserC,AC cooling,0.0
UserC,Storing HW,0.0
UserC,Radiators heater,0.0
UserC,Floor heater,0.0
UserC,Induction stove cooking,0.0
UserC,Gas stove cooking,0.0
UserC,Natural Gas supply grid,6438.165715434324
UserD,PV,0.0
UserD,National Grid import,856.1270953561041
UserD,National Grid export,-379.0343832473836
UserD,Storing EE,0.0
UserD,Gas Boiler heating,0.0
UserD,HP heating winter,0.0
UserD,HP heating summer,0.0
UserD,HP cooling,0.0
UserD,AC cooling,0.0
UserD,Storing HW,0.0
UserD,Radiators heater,0.0
UserD,Floor heater,0.0
UserD,Induction stove cooking,0.0
UserD,Gas stove cooking,0.0
UserD,Natural Gas supply grid,8347.924963893542
