s_names,t_names,values
UserA,PV sys,1.9999999999999998
UserA,National Grid EE,3.0
UserA,Storage EE,3.0
UserA,Gas Boiler,23.99999999978508
UserA,HP,6.26856973078053e-11
UserA,AC,3.9999999999641798
UserA,Storage HW,0.0
UserA,Radiators,15.0
UserA,Floor heating,0.0
UserA,Induction stove,3.282912373965042e-11
UserA,Gas stove,3.999999999967171
UserA,Gas National Grid,2.0
UserB,PV sys,1.9999999999999998
UserB,National Grid EE,3.0
UserB,Storage EE,3.0
UserB,Gas Boiler,24.0
UserB,HP,-0.0
UserB,AC,4.0
UserB,Storage HW,-0.0
UserB,Radiators,27.0
UserB,Floor heating,0.0
UserB,Induction stove,0.0
UserB,Gas stove,4.0
UserB,Gas National Grid,2.0
UserC,PV sys,1.9999999999999998
UserC,National Grid EE,3.0
UserC,Storage EE,6.0
UserC,Gas Boiler,24.000000000065917
UserC,HP,0.0
UserC,AC,4.0
UserC,Storage HW,-1.515684007175599e-11
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,2.9999999999999996
UserD,National Grid EE,3.0
UserD,Storage EE,6.0
UserD,Gas Boiler,24.0
UserD,HP,0.0
UserD,AC,4.0
UserD,Storage HW,-0.0
UserD,Radiators,51.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,2.0
