s_names,t_names,values
UserA,PV sys,0.0
UserA,National Grid EE,6.0
UserA,Storage EE,0.0
UserA,Gas Boiler,0.0
UserA,HP,7.0
UserA,AC,0.0
UserA,Storage HW,-1.1326770417870263e-07
UserA,Radiators,15.0
UserA,Floor heating,0.0
UserA,Induction stove,4.0
UserA,Gas stove,0.0
UserA,Gas National Grid,0.0
UserB,PV sys,1.0
UserB,National Grid EE,6.0
UserB,Storage EE,2.0418720069415027e-06
UserB,Gas Boiler,24.0
UserB,HP,7.0
UserB,AC,0.0
UserB,Storage HW,0.0
UserB,Radiators,26.999999896896405
UserB,Floor heating,8.019167888971529e-08
UserB,Induction stove,3.9999842203071374
UserB,Gas stove,1.5779692862594175e-05
UserB,Gas National Grid,1.0
UserC,PV sys,2.0
UserC,National Grid EE,6.0
UserC,Storage EE,0.0
UserC,Gas Boiler,0.0
UserC,HP,14.0
UserC,AC,0.0
UserC,Storage HW,0.0
UserC,Radiators,39.0
UserC,Floor heating,0.0
UserC,Induction stove,4.0
UserC,Gas stove,0.0
UserC,Gas National Grid,1.0
UserD,PV sys,2.0000011444330146
UserD,National Grid EE,5.0
UserD,Storage EE,0.0
UserD,Gas Boiler,24.0
UserD,HP,14.0
UserD,AC,0.0
UserD,Storage HW,0.0
UserD,Radiators,51.0
UserD,Floor heating,0.0
UserD,Induction stove,3.999976932242486
UserD,Gas stove,2.30677575139282e-05
UserD,Gas National Grid,1.0
