s_names,th_names,n_names,values
UserA,h01_wi01,EE,0.23438541678774594
UserA,h01_wi01,Hot water,1.2553668374863924
UserA,h01_wi01,Heat,1.004293469989114
UserA,h01_wi01,Cooling,0.0
UserA,h01_wi01,Cooking,0.0
UserA,h01_wi01,Natural Gas,0.12078965048459467
UserA,h02_wi01,EE,0.1408676000000001
UserA,h02_wi01,Hot water,1.4504467382519362
UserA,h02_wi01,Heat,1.160357390601549
UserA,h02_wi01,Cooling,0.0
UserA,h02_wi01,Cooking,0.0
UserA,h02_wi01,Natural Gas,0.13955996711747679
UserA,h03_wi01,EE,0.18208336550742388
UserA,h03_wi01,Hot water,1.869305409491355
UserA,h03_wi01,Heat,1.495444327593084
UserA,h03_wi01,Cooling,-8.114699689976138e-09
UserA,h03_wi01,Cooking,0.0
UserA,h03_wi01,Natural Gas,0.1798619656972342
UserA,h04_wi01,EE,0.17423394927754998
UserA,h04_wi01,Hot water,2.443095456133949
UserA,h04_wi01,Heat,1.954476364907159
UserA,h04_wi01,Cooling,-5.057150892495701e-09
UserA,h04_wi01,Cooking,0.0
UserA,h04_wi01,Natural Gas,0.23507124565899631
UserA,h05_wi01,EE,0.1562510000000001
UserA,h05_wi01,Hot water,2.7320114540881586
UserA,h05_wi01,Heat,2.185609163270527
UserA,h05_wi01,Cooling,0.0
UserA,h05_wi01,Cooking,0.003110168656653025
UserA,h05_wi01,Natural Gas,0.263581074246869
UserA,h06_wi01,EE,0.17250069988036285
UserA,h06_wi01,Hot water,2.5912120653494126
UserA,h06_wi01,Heat,2.07296965227953
UserA,h06_wi01,Cooling,0.0
UserA,h06_wi01,Cooking,0.01239846983273267
UserA,h06_wi01,Natural Gas,0.25215610809345296
UserA,h07_wi01,EE,0.3722500998348949
UserA,h07_wi01,Hot water,2.502479332511951
UserA,h07_wi01,Heat,2.001982106009561
UserA,h07_wi01,Cooling,0.0
UserA,h07_wi01,Cooking,0.01711047274324019
UserA,h07_wi01,Natural Gas,0.24469515111817955
UserA,h08_wi01,EE,0.22441790000000023
UserA,h08_wi01,Hot water,3.6657486425299357
UserA,h08_wi01,Heat,1.874593244314115
UserA,h08_wi01,Cooling,0.0
UserA,h08_wi01,Cooking,0.01593653016887095
UserA,h08_wi01,Natural Gas,0.3563550372059082
UserA,h09_wi01,EE,0.339085516666667
UserA,h09_wi01,Hot water,2.9954716017675347
