s_names,t_names,values
UserA,PV sys,2.0
UserA,National Grid EE,2.499999999084811
UserA,Storage EE,3.0
UserA,Gas Boiler,8.785820439159052e-09
UserA,HP,6.999999997437469
UserA,AC,1.4643007036871762e-09
UserA,Storage HW,1.9180317515750826e-06
UserA,Radiators,7.5
UserA,Floor heating,0.0
UserA,Induction stove,3.999999998535698
UserA,Gas stove,0.0
UserA,Gas National Grid,1.0
UserB,PV sys,3.0
UserB,National Grid EE,2.5
UserB,Storage EE,3.0
UserB,Gas Boiler,0.0
UserB,HP,7.0
UserB,AC,0.0
UserB,Storage HW,6.0
UserB,Radiators,13.5
UserB,Floor heating,0.0
UserB,Induction stove,4.0
UserB,Gas stove,0.0
UserB,Gas National Grid,1.0
UserC,PV sys,3.0
UserC,National Grid EE,0.0
UserC,Storage EE,3.0
UserC,Gas Boiler,24.0
UserC,HP,3.5
UserC,AC,0.0
UserC,Storage HW,0.0
UserC,Radiators,19.5
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,4.0
UserC,Gas National Grid,2.0
UserD,PV sys,3.0
UserD,National Grid EE,0.0
UserD,Storage EE,3.0
UserD,Gas Boiler,24.0
UserD,HP,3.5
UserD,AC,0.0
UserD,Storage HW,0.0
UserD,Radiators,25.5
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,4.0
UserD,Gas National Grid,1.0
